PoJ100_S196_L001	36096
PoJ101_S197_L001	33112
PoJ102_S198_L001	27413
PoJ103_S199_L001	35288
PoJ104_S200_L001	29541
PoJ105_S201_L001	33595
PoJ106_S202_L001	39326
PoJ107_S203_L001	31229
PoJ108_S204_L001	41731
PoJ109_S205_L001	20761
PoJ10_S10_L001	28412
PoJ110_S206_L001	34187
PoJ111_S207_L001	41427
PoJ112_S208_L001	28014
PoJ113_S209_L001	24188
PoJ114_S210_L001	22882
PoJ115_S211_L001	33109
PoJ116_S212_L001	30091
PoJ117_S213_L001	32962
PoJ118_S214_L001	30284
PoJ119_S215_L001	35647
PoJ11_S11_L001	24845
PoJ120_S216_L001	31337
PoJ121_S217_L001	32693
PoJ122_S218_L001	34879
PoJ123_S219_L001	39285
PoJ124_S220_L001	45452
PoJ125_S221_L001	23485
PoJ126_S222_L001	23950
PoJ127_S223_L001	27243
PoJ128_S224_L001	35072
PoJ129_S225_L001	31110
PoJ12_S12_L001	19878
PoJ130_S226_L001	31093
PoJ131_S227_L001	29605
PoJ132_S228_L001	37684
PoJ133_S229_L001	34037
PoJ134_S230_L001	35052
PoJ135_S231_L001	1140
PoJ136_S232_L001	39128
PoJ137_S233_L001	33419
PoJ138_S234_L001	32147
PoJ139_S235_L001	35966
PoJ13_S13_L001	38014
PoJ140_S236_L001	39339
PoJ141_S237_L001	43032
PoJ142_S238_L001	36530
PoJ143_S239_L001	38931
PoJ144_S240_L001	43571
PoJ145_S241_L001	29137
PoJ146_S242_L001	50997
PoJ147_S243_L001	105019
PoJ148_S244_L001	9600
PoJ149_S245_L001	2094
PoJ14_S14_L001	32397
PoJ150_S246_L001	28711
PoJ151_S247_L001	25688
PoJ152_S248_L001	31155
PoJ153_S249_L001	42266
PoJ154_S250_L001	40760
PoJ155_S251_L001	2025
PoJ156_S252_L001	28390
PoJ157_S253_L001	35005
PoJ158_S254_L001	33987
PoJ159_S255_L001	39131
PoJ15_S15_L001	22038
PoJ160_S256_L001	52151
PoJ161_S257_L001	284
PoJ162_S258_L001	25073
PoJ163_S259_L001	32602
PoJ164_S260_L001	25638
PoJ165_S261_L001	35354
PoJ166_S262_L001	26056
PoJ167_S263_L001	27938
PoJ168_S264_L001	32661
PoJ169_S265_L001	21022
PoJ16_S16_L001	13479
PoJ170_S266_L001	27368
PoJ171_S267_L001	30674
PoJ172_S268_L001	25508
PoJ173_S269_L001	20232
PoJ174_S270_L001	20052
PoJ175_S271_L001	40377
PoJ176_S272_L001	19088
PoJ177_S273_L001	30089
PoJ178_S274_L001	25096
PoJ179_S275_L001	24495
PoJ17_S17_L001	33070
