study_accession	secondary_study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy
PRJEB8640	ERP009661	SAMEA3268120	ERS664097	ERX711705	ERR768432	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768432/ERR768432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768432/ERR768432_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768432/ERR768432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768432/ERR768432_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ325_S337_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ325_S337_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ325_S337_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ325_S337_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268119	ERS664096	ERX711706	ERR768433	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768433/ERR768433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768433/ERR768433_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768433/ERR768433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768433/ERR768433_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ326_S338_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ326_S338_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ326_S338_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ326_S338_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268118	ERS664095	ERX711707	ERR768434	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768434/ERR768434_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768434/ERR768434_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768434/ERR768434_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768434/ERR768434_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ327_S339_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ327_S339_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ327_S339_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ327_S339_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268117	ERS664094	ERX711708	ERR768435	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768435/ERR768435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768435/ERR768435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768435/ERR768435_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768435/ERR768435_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ328_S340_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ328_S340_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ328_S340_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ328_S340_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268127	ERS664104	ERX711709	ERR768436	549062	Heriades truncorum	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768436/ERR768436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768436/ERR768436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768436/ERR768436_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768436/ERR768436_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ329_S341_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ329_S341_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ329_S341_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ329_S341_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3267813	ERS663790	ERX711710	ERR768437	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768437/ERR768437_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768437/ERR768437_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768437/ERR768437_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768437/ERR768437_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ32_S32_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ32_S32_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ32_S32_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ32_S32_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268122	ERS664099	ERX711711	ERR768438	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768438/ERR768438_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768438/ERR768438_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768438/ERR768438_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768438/ERR768438_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ330_S342_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ330_S342_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ330_S342_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ330_S342_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268112	ERS664089	ERX711712	ERR768439	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768439/ERR768439_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768439/ERR768439_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768439/ERR768439_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768439/ERR768439_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ331_S343_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ331_S343_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ331_S343_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ331_S343_L001_R2_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268113	ERS664090	ERX711713	ERR768440	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768440/ERR768440_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768440/ERR768440_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768440/ERR768440_2.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768440/ERR768440_1.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ332_S344_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ332_S344_L001_R1_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ332_S344_L001_R2_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ332_S344_L001_R1_001.fastq.gz
PRJEB8640	ERP009661	SAMEA3268114	ERS664091	ERX711714	ERR768441	1437190	Osmia bicornis	Illumina MiSeq	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768441/ERR768441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768441/ERR768441_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768441/ERR768441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR768/ERR768441/ERR768441_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ333_S345_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ333_S345_L001_R2_001.fastq.gz	ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ333_S345_L001_R1_001.fastq.gz;ftp.sra.ebi.ac.uk/vol1/ERA411/ERA411823/fastq/PoJ333_S345_L001_R2_001.fastq.gz
