#SampleID	BeeSpecies
PoJ281	O.rufa
PoJ282	O.rufa
PoJ283	O.rufa
PoJ284	O.rufa
PoJ285	O.rufa
PoJ286	O.rufa
PoJ287	O.rufa
PoJ288	O.rufa
PoJ382	O.rufa
PoJ289	O.rufa
PoJ383	O.rufa
PoJ14	O.rufa
PoJ296	O.rufa
PoJ297	O.rufa
PoJ298	O.rufa
PoJ299	O.rufa
PoJ300	O.rufa
PoJ303	O.rufa
PoJ302	O.rufa
PoJ301	O.rufa
PoJ304	O.rufa
PoJ305	O.rufa
PoJ294	O.rufa
PoJ307	O.rufa
PoJ290	O.rufa
PoJ308	O.rufa
PoJ291	O.rufa
PoJ309	O.rufa
PoJ310	O.rufa
PoJ292	O.rufa
PoJ311	O.rufa
PoJ293	O.rufa
PoJ312	O.rufa
PoJ313	O.rufa
PoJ314	O.rufa
PoJ315	O.rufa
PoJ316	O.rufa
PoJ317	O.rufa
PoJ318	O.rufa
PoJ346	O.rufa
PoJ295	O.rufa
PoJ355	O.rufa
PoJ354	O.rufa
PoJ353	O.rufa
PoJ352	O.rufa
PoJ351	O.rufa
PoJ348	O.rufa
PoJ349	O.rufa
PoJ347	O.rufa
PoJ341	O.rufa
PoJ342	O.rufa
PoJ343	O.rufa
PoJ381	O.rufa
PoJ345	O.rufa
PoJ344	O.rufa
PoJ388	O.rufa
PoJ336	O.rufa
PoJ337	O.rufa
PoJ338	O.rufa
PoJ339	O.rufa
PoJ340	O.rufa
PoJ331	O.rufa
PoJ332	O.rufa
PoJ333	O.rufa
PoJ334	O.rufa
PoJ335	O.rufa
PoJ328	O.rufa
PoJ327	O.rufa
PoJ326	O.rufa
PoJ325	O.rufa
PoJ322	O.rufa
PoJ330	O.rufa
PoJ323	O.rufa
PoJ324	O.rufa
PoJ321	O.rufa
PoJ320	O.rufa
PoJ329	H.truncorum
PoJ319	H.truncorum
PoJ356	H.truncorum
PoJ357	H.truncorum
PoJ358	H.truncorum
PoJ359	H.truncorum
PoJ360	H.truncorum
PoJ361	H.truncorum
PoJ362	H.truncorum
PoJ363	H.truncorum
PoJ364	H.truncorum
PoJ365	H.truncorum
PoJ366	H.truncorum
PoJ367	H.truncorum
PoJ368	H.truncorum
PoJ369	H.truncorum
PoJ370	H.truncorum
PoJ371	H.truncorum
PoJ372	H.truncorum
PoJ373	H.truncorum
PoJ374	H.truncorum
PoJ375	H.truncorum
PoJ380	H.truncorum
PoJ379	H.truncorum
PoJ378	H.truncorum
PoJ377	H.truncorum
PoJ376	H.truncorum
