
code	|	name	|	preferred name	|	taxid
1	|	Abelia	|	 	|	86866
1	|	Abies	|	 	|	3319
1+	|	Abronia	|	 	|	76710
1+	|	Abronia	|	 	|	76641
1	|	Abutilon	|	 	|	3630
1	|	Acacia	|	 	|	3808
1	|	Acaena	|	 	|	137429
1	|	Acalypha	|	 	|	20025
1	|	Acamptopappus	|	 	|	217565
1	|	Acanthomintha	|	 	|	392614
1	|	Acanthoscyphus	|	 	|	1214376
1	|	Acanthus	|	 	|	13326
1	|	Acaulon	|	 	|	129284
1	|	Acca	|	 	|	260129
1	|	Acer	|	 	|	4022
1	|	Achillea	|	 	|	13328
1	|	Achlys	|	 	|	63344
1	|	Achnatherum	|	 	|	37868
1	|	Achyrachaena	|	 	|	149404
1	|	Achyranthes	|	 	|	169205
1	|	Achyronychia	|	 	|	1137806
1	|	Acleisanthes	|	 	|	117577
1	|	Acmispon	|	 	|	390699
1	|	Acnistus	|	 	|	362340
1	|	Aconitum	|	 	|	49188
1	|	Aconogonon	|	 	|	106214
1	|	Acorus	|	 	|	4464
1	|	Acourtia	|	 	|	130231
1	|	Acrachne	|	 	|	286683
1	|	Acrocomia	|	 	|	169986
1	|	Acrosiphonia	|	 	|	29214
1	|	Acrosorium	|	 	|	131041
1+	|	Actaea	|	 	|	46988
1+	|	Actaea	|	 	|	689456
1	|	Actinastrum	|	 	|	55401
1	|	Actinidia	|	 	|	3624
1	|	Adenocarpus	|	 	|	49787
1	|	Adenocaulon	|	 	|	41467
1	|	Adenophyllum	|	 	|	169558
1	|	Adenostoma	|	 	|	23136
1	|	Adiantum	|	 	|	13817
1	|	Adolphia	|	 	|	73669
1	|	Adonis	|	 	|	46984
1	|	Aegilops	|	 	|	4480
1+	|	Aegle	|	 	|	68526
1+	|	Aegle	|	 	|	319987
1	|	Aeonium	|	 	|	22994
1	|	Aeschynomene	|	 	|	48134
1	|	Aesculus	|	 	|	43363
1	|	Agalinis	|	 	|	46034
1	|	Agapanthus	|	 	|	51426
1	|	Agastache	|	 	|	39130
1+	|	Agathis	|	 	|	79214
1+	|	Agathis	|	 	|	54793
1	|	Agave	|	 	|	39509
1	|	Ageratina	|	 	|	102749
2+	|	Ageratum	|	Ageratum houstonianum	|	55598
1+	|	Ageratum	|	 	|	55597
1	|	Agnorhiza	|	 	|	637409
1	|	Agoseris	|	 	|	19016
1	|	Agrimonia	|	 	|	23137
3	|	Agropogon	|	 	|	 
1	|	Agropyron	|	 	|	4592
1	|	Agrostemma	|	 	|	39847
1	|	Agrostis	|	 	|	15297
1	|	Ahnfeltia	|	 	|	28022
1	|	Ailanthus	|	 	|	23809
1	|	Aira	|	 	|	281065
1	|	Ajuga	|	 	|	38595
1	|	Akebia	|	 	|	13330
1	|	Albizia	|	 	|	3812
1	|	Alcea	|	 	|	65556
1	|	Aleurites	|	 	|	123497
1	|	Alhagi	|	 	|	47036
1	|	Aliciella	|	 	|	73235
1	|	Alisma	|	 	|	14999
1	|	Allenrolfea	|	 	|	224138
1	|	Allionia	|	 	|	107612
1	|	Allium	|	 	|	4678
1	|	Allocasuarina	|	 	|	19926
1	|	Allophyllum	|	 	|	40739
1+	|	Allotropa	|	 	|	162313
1+	|	Allotropa	|	 	|	162231
1	|	Almutaster	|	 	|	481906
1	|	Alnus	|	 	|	3515
1	|	Aloe	|	 	|	25641
1	|	Aloiampelos	|	 	|	1331810
1	|	Aloidendron	|	 	|	1331514
1	|	Aloina	|	 	|	200689
1	|	Alopecurus	|	 	|	15303
1	|	Aloysia	|	 	|	105887
1	|	Alsia	|	 	|	324262
1	|	Alstroemeria	|	 	|	56741
1	|	Alternanthera	|	 	|	169520
1	|	Alyssum	|	 	|	169067
1	|	Amaranthus	|	 	|	3564
1	|	Amaryllis	|	 	|	51431
1	|	Amauriopsis	|	 	|	176513
1	|	Amblyopappus	|	 	|	149406
1	|	Amblystegium	|	 	|	99399
1	|	Ambrosia	|	 	|	4211
1	|	Amelanchier	|	 	|	23139
1	|	Amelichloa	|	 	|	487926
1	|	Ammannia	|	 	|	162021
1	|	Ammi	|	 	|	48025
1+	|	Ammophila	|	 	|	95167
1+	|	Ammophila	|	 	|	95188
3	|	Ammoselinum	|	 	|	 
1	|	Amomum	|	 	|	188482
1+	|	Amorpha	|	 	|	48130
1+	|	Amorpha	|	 	|	522886
1	|	Ampelodesmos	|	 	|	65999
1	|	Ampelopsis	|	 	|	125007
1	|	Amphibromus	|	 	|	291151
1	|	Amphidium	|	 	|	61521
1	|	Amphipappus	|	 	|	217568
1	|	Amphiroa	|	 	|	35167
1	|	Amphiscirpus	|	 	|	140877
1	|	Amsinckia	|	 	|	255583
1	|	Amsonia	|	 	|	141529
1	|	Anacardium	|	 	|	171928
1	|	Anacolia	|	 	|	188168
1	|	Anagallis	|	 	|	4336
1	|	Ananas	|	 	|	4614
1	|	Anaphalis	|	 	|	49044
1	|	Anastrophyllum	|	 	|	248320
1	|	Anchusa	|	 	|	89629
3	|	Ancistrocarphus	|	 	|	 
1	|	Andreaea	|	 	|	13796
1	|	Andrographis	|	 	|	175693
1	|	Andropogon	|	 	|	15314
1	|	Androsace	|	 	|	85163
1	|	Androstephium	|	 	|	158487
1	|	Anelsonia	|	 	|	359813
1	|	Anemone	|	 	|	22868
1	|	Anemopsis	|	 	|	108406
1	|	Anethum	|	 	|	40921
1	|	Aneura	|	 	|	70217
1	|	Angelica	|	 	|	40948
1	|	Angelonia	|	 	|	90643
1	|	Anisacanthus	|	 	|	69898
1	|	Anisocarpus	|	 	|	166919
1	|	Anisocladella	|	 	|	136786
1	|	Anisocoma	|	 	|	231840
1	|	Anisodontea	|	 	|	108534
1	|	Ankistrodesmus	|	 	|	3108
1	|	Annona	|	 	|	13336
1	|	Anoda	|	 	|	108337
1	|	Anoectangium	|	 	|	200691
1	|	Anomobryum	|	 	|	67231
1	|	Anredera	|	 	|	46149
1+	|	Antennaria	|	 	|	41475
1+	|	Antennaria	|	 	|	293542
1+	|	Anthelia	|	 	|	280796
1+	|	Anthelia	|	 	|	361026
1	|	Anthemis	|	 	|	99027
1	|	Anthoceros	|	 	|	3233
1	|	Anthoxanthum	|	 	|	15324
1	|	Anthriscus	|	 	|	40886
1+	|	Anticlea	|	 	|	208974
1+	|	Anticlea	|	 	|	689152
1	|	Antirrhinum	|	 	|	4150
1	|	Antithamnionella	|	 	|	122414
1	|	Antitrichia	|	 	|	84254
1	|	Anulocaulis	|	 	|	363200
1	|	Apera	|	 	|	325524
1	|	Aphanes	|	 	|	57944
1	|	Aphanisma	|	 	|	240025
3	|	Apiastrum	|	 	|	 
1	|	Apium	|	 	|	4044
1	|	Apocynum	|	 	|	13338
1	|	Aponogeton	|	 	|	51593
1	|	Aptenia	|	 	|	107606
1	|	Apteria	|	 	|	147070
1	|	Aquilegia	|	 	|	3450
1	|	Arabidopsis	|	 	|	3701
1	|	Arabis	|	 	|	50451
1	|	Arachis	|	 	|	3817
1	|	Aralia	|	 	|	13340
1	|	Araucaria	|	 	|	25666
1	|	Araujia	|	 	|	63462
1	|	Arbutus	|	 	|	13342
1	|	Arceuthobium	|	 	|	27219
1	|	Arctium	|	 	|	4216
1	|	Arctomecon	|	 	|	99305
1	|	Arctostaphylos	|	 	|	83607
1	|	Arctotheca	|	 	|	259858
1	|	Arctotis	|	 	|	41477
1	|	Ardisia	|	 	|	13344
1	|	Areca	|	 	|	115440
1+	|	Arenaria	|	 	|	3577
1+	|	Arenaria	|	 	|	54972
1	|	Argemone	|	 	|	54795
1	|	Argyranthemum	|	 	|	99031
1	|	Argyrochosma	|	 	|	331973
1	|	Arida	|	 	|	481910
1	|	Aristida	|	 	|	38709
1	|	Aristocapsa	|	 	|	1214372
1	|	Aristolochia	|	 	|	12947
1+	|	Aristotelia	|	 	|	138854
1+	|	Aristotelia	|	 	|	687325
3	|	Arivela	|	 	|	 
1	|	Armeria	|	 	|	63086
1	|	Armoracia	|	 	|	3703
1	|	Arnica	|	 	|	4246
1	|	Arrhenatherum	|	 	|	52138
1	|	Artemisia	|	 	|	4219
1	|	Arthrocnemum	|	 	|	239180
1	|	Artocarpus	|	 	|	3488
1	|	Arum	|	 	|	4457
1	|	Aruncus	|	 	|	23143
1	|	Arundo	|	 	|	35707
1	|	Asarum	|	 	|	16728
1	|	Asclepias	|	 	|	21199
1	|	Asparagus	|	 	|	4685
1	|	Asperugo	|	 	|	581243
1	|	Asphodelus	|	 	|	49697
1	|	Aspidotis	|	 	|	331974
1	|	Asplenium	|	 	|	32071
1	|	Aster	|	 	|	41479
1	|	Asterella	|	 	|	56913
3	|	Asterocytis	|	 	|	 
1	|	Astragalus	|	 	|	20400
1	|	Astrolepis	|	 	|	414598
1	|	Asyneuma	|	 	|	103992
1	|	Athyrium	|	 	|	32109
1+	|	Athysanus	|	 	|	457779
1+	|	Athysanus	|	 	|	565968
1	|	Atrichoseris	|	 	|	184934
1	|	Atrichum	|	 	|	37309
1	|	Atriplex	|	 	|	3550
1	|	Atropa	|	 	|	24609
1	|	Aubrieta	|	 	|	81983
1	|	Aucuba	|	 	|	16900
3	|	Aulacommium	|	 	|	 
1	|	Aulacomnium	|	 	|	67246
1	|	Austrocylindropuntia	|	 	|	154405
1	|	Avena	|	 	|	4496
1	|	Averrhoa	|	 	|	21563
1	|	Avicennia	|	 	|	41377
1	|	Axonopus	|	 	|	158091
1	|	Ayenia	|	 	|	133556
1	|	Azolla	|	 	|	39630
1	|	Baccharis	|	 	|	41487
1	|	Bacopa	|	 	|	90645
1	|	Baeckea	|	 	|	39977
1	|	Bahia	|	 	|	41489
1	|	Bahiopsis	|	 	|	191142
1+	|	Baileya	|	 	|	56373
1+	|	Baileya	|	 	|	128736
1+	|	Baileya	|	 	|	212749
1	|	Balsamorhiza	|	 	|	121882
1	|	Bambusa	|	 	|	4581
1	|	Bangia	|	 	|	31346
1	|	Banksia	|	 	|	83698
1	|	Barbarea	|	 	|	50457
1	|	Barbilophozia	|	 	|	209797
1	|	Barbula	|	 	|	96464
1+	|	Bartramia	|	 	|	52975
1+	|	Bartramia	|	 	|	279932
1	|	Basella	|	 	|	3588
1+	|	Bassia	|	 	|	83153
1+	|	Bassia	|	 	|	645411
1+	|	Batis	|	 	|	4435
1+	|	Batis	|	 	|	254443
1	|	Bauhinia	|	 	|	3805
1	|	Bazzania	|	 	|	13807
1	|	Beaucarnea	|	 	|	39517
1	|	Bebbia	|	 	|	183006
1	|	Beckmannia	|	 	|	100788
1	|	Begonia	|	 	|	3681
1+	|	Bellardia	|	 	|	670600
1+	|	Bellardia	|	 	|	1005672
1	|	Bellis	|	 	|	41491
1	|	Benincasa	|	 	|	102210
1	|	Benitoa	|	 	|	161862
1	|	Bensoniella	|	 	|	23237
1	|	Berberis	|	 	|	22774
1	|	Bergenia	|	 	|	23238
1	|	Bergerocactus	|	 	|	130102
1	|	Bergia	|	 	|	125024
1	|	Bernardia	|	 	|	124821
1	|	Berteroa	|	 	|	228873
1	|	Berula	|	 	|	54704
1	|	Besa	|	 	|	207659
1	|	Bestia	|	 	|	184633
1+	|	Beta	|	 	|	3554
2+	|	Beta	|	Philbostroma	|	322741
1	|	Betula	|	 	|	3504
1	|	Bidens	|	 	|	42336
1	|	Billardiera	|	 	|	105277
1	|	Billbergia	|	 	|	15119
3	|	Binghamia	|	 	|	 
1	|	Bischofia	|	 	|	210339
1	|	Bistorta	|	 	|	137670
1	|	Bituminaria	|	 	|	53835
1	|	Blasia	|	 	|	122624
1	|	Blechnum	|	 	|	29605
1	|	Blennosperma	|	 	|	13358
1	|	Blepharidachne	|	 	|	433845
1	|	Blepharipappus	|	 	|	149415
1	|	Blepharizonia	|	 	|	142835
1	|	Blepharostoma	|	 	|	70213
1	|	Bletilla	|	 	|	78706
1	|	Blidingia	|	 	|	63413
1	|	Blindia	|	 	|	67424
1	|	Bloomeria	|	 	|	51441
1	|	Blumea	|	 	|	72901
1	|	Boechera	|	 	|	76872
1	|	Boehmeria	|	 	|	83905
1	|	Boerhavia	|	 	|	122399
1	|	Bolandra	|	 	|	23239
1	|	Bolboschoenus	|	 	|	76416
1	|	Bombycilaena	|	 	|	702207
1	|	Bonnemaisonia	|	 	|	31368
1	|	Borago	|	 	|	13362
3	|	Bornetia	|	 	|	 
1	|	Bossiella	|	 	|	48614
1	|	Boswellia	|	 	|	80276
1	|	Bothriochloa	|	 	|	79826
1	|	Botrychium	|	 	|	13829
1	|	Botryocladia	|	 	|	38326
1	|	Botryoglossum	|	 	|	131102
1	|	Bougainvillea	|	 	|	3540
1	|	Bouteloua	|	 	|	48731
1	|	Bowlesia	|	 	|	46375
1	|	Boykinia	|	 	|	23240
1	|	Brachychiton	|	 	|	93744
1	|	Brachypodium	|	 	|	15367
1	|	Brachythecium	|	 	|	53004
1	|	Bracteacoccus	|	 	|	50036
3	|	Brandegea	|	 	|	 
1	|	Brasenia	|	 	|	4423
1	|	Brassavola	|	 	|	38184
1	|	Brassica	|	 	|	3705
1	|	Breynia	|	 	|	99295
1	|	Brickellia	|	 	|	102753
1	|	Briza	|	 	|	15369
1	|	Brodiaea	|	 	|	51443
3	|	Bromidium	|	 	|	 
1	|	Bromus	|	 	|	4501
1	|	Broussonetia	|	 	|	66379
1	|	Bruchia	|	 	|	175142
1	|	Brugmansia	|	 	|	301914
1	|	Bryoerythrophyllum	|	 	|	200697
1	|	Bryonia	|	 	|	3651
1	|	Bryopsis	|	 	|	3128
1	|	Bryum	|	 	|	37412
1	|	Buddleja	|	 	|	26473
1	|	Buglossoides	|	 	|	181180
1	|	Bulbine	|	 	|	49703
1	|	Bulbochaete	|	 	|	55989
1	|	Bulbostylis	|	 	|	76419
1	|	Bupleurum	|	 	|	46366
1	|	Bursera	|	 	|	4015
1	|	Butia	|	 	|	169979
1	|	Buxbaumia	|	 	|	70127
1	|	Buxus	|	 	|	4001
1	|	Cabomba	|	 	|	4425
1	|	Cacaliopsis	|	 	|	98681
1	|	Caesalpinia	|	 	|	53845
1	|	Cajanus	|	 	|	3820
1	|	Cakile	|	 	|	220482
1	|	Calamagrostis	|	 	|	15376
1	|	Calamovilfa	|	 	|	15377
1	|	Calandrinia	|	 	|	46143
1	|	Calceolaria	|	 	|	86658
1	|	Calendula	|	 	|	41495
1	|	Calibrachoa	|	 	|	323105
1	|	Calliandra	|	 	|	148673
1	|	Calliarthron	|	 	|	48940
1	|	Calliergon	|	 	|	139997
1	|	Calliergonella	|	 	|	52998
1	|	Callisia	|	 	|	168059
1	|	Callistemon	|	 	|	73722
1	|	Callithamnion	|	 	|	31378
1	|	Callitriche	|	 	|	13380
1	|	Callitropsis	|	 	|	329095
1	|	Callophyllis	|	 	|	31431
1	|	Calocedrus	|	 	|	13386
1	|	Calochortus	|	 	|	59059
1	|	Calodendrum	|	 	|	68532
1	|	Calotropis	|	 	|	4065
1	|	Caltha	|	 	|	3448
1	|	Calycadenia	|	 	|	17778
1	|	Calycanthus	|	 	|	3428
1	|	Calycoseris	|	 	|	231842
1	|	Calypogeia	|	 	|	41851
1	|	Calypso	|	 	|	78713
1	|	Calyptocarpus	|	 	|	53716
1	|	Calystegia	|	 	|	47518
1	|	Camassia	|	 	|	39523
1	|	Camelina	|	 	|	71323
1	|	Camellia	|	 	|	4441
1	|	Camissonia	|	 	|	203939
1	|	Camissoniopsis	|	 	|	1402220
1	|	Campanula	|	 	|	40568
1	|	Campsis	|	 	|	83936
1	|	Camptotheca	|	 	|	16921
1	|	Campylium	|	 	|	94481
1	|	Campylopodiella	|	 	|	94678
1	|	Campylopus	|	 	|	94682
1	|	Canadanthus	|	 	|	300136
1	|	Canbya	|	 	|	98729
1	|	Cannabis	|	 	|	3482
1+	|	Capsella	|	 	|	3718
1+	|	Capsella	|	 	|	183499
1	|	Capsicum	|	 	|	4071
1	|	Caragana	|	 	|	20483
1	|	Cardamine	|	 	|	50460
1	|	Cardionema	|	 	|	308176
1	|	Cardiospermum	|	 	|	289798
1	|	Carduus	|	 	|	92905
1	|	Carex	|	 	|	13398
1	|	Carica	|	 	|	3648
1	|	Carissa	|	 	|	84860
1	|	Carlowrightia	|	 	|	76359
1	|	Carlquistia	|	 	|	166918
1	|	Carnegiea	|	 	|	171968
1	|	Carpenteria	|	 	|	23100
1	|	Carpobrotus	|	 	|	141999
1	|	Carpopeltis	|	 	|	2815
1	|	Carrichtera	|	 	|	127602
1	|	Carsonia	|	 	|	1350041
1	|	Carthamus	|	 	|	4221
1	|	Carum	|	 	|	48031
1	|	Carya	|	 	|	13402
1	|	Caryota	|	 	|	4713
1	|	Cascadia	|	 	|	90619
