
code	|	name	|	preferred name	|	taxid
2	|	Abelia grandiflora	|	Abelia x grandiflora	|	105883
1	|	Abies amabilis	|	 	|	97174
1	|	Abies bracteata	|	 	|	66168
1	|	Abies concolor	|	 	|	97173
1	|	Abies grandis	|	 	|	46611
1	|	Abies lasiocarpa	|	 	|	34340
1	|	Abies lowiana	|	 	|	587726
1	|	Abies magnifica	|	 	|	3320
1	|	Abies procera	|	 	|	97175
2	|	Abies shastensis	|	Abies magnifica var. shastensis	|	1535755
3	|	Abronia alpina	|	 	|	 
3	|	Abronia gracilis	|	 	|	 
3	|	Abronia latifolia	|	 	|	 
3	|	Abronia maritima	|	 	|	 
3	|	Abronia minor	|	 	|	 
3	|	Abronia nana	|	 	|	 
3	|	Abronia pogonantha	|	 	|	 
3	|	Abronia turbinata	|	 	|	 
1	|	Abronia umbellata	|	 	|	363197
1	|	Abronia villosa	|	 	|	363198
1	|	Abutilon indicum	|	 	|	318060
3	|	Abutilon palmeri	|	 	|	 
3	|	Abutilon parvulum	|	 	|	 
3	|	Abutilon pictum	|	 	|	 
1	|	Abutilon theophrasti	|	 	|	3631
1	|	Acacia baileyana	|	 	|	383632
1	|	Acacia boormanii	|	 	|	1174744
2	|	Acacia catechu	|	Senegalia catechu	|	138017
1	|	Acacia confusa	|	 	|	3809
1	|	Acacia cultriformis	|	 	|	138515
1	|	Acacia cyclops	|	 	|	546665
1	|	Acacia dealbata	|	 	|	205042
1	|	Acacia decora	|	 	|	1174771
1	|	Acacia decurrens	|	 	|	205044
3	|	Acacia dietrichiana	|	 	|	 
1	|	Acacia elata	|	 	|	138021
1	|	Acacia floribunda	|	 	|	866001
1	|	Acacia iteaphylla	|	 	|	1174823
1	|	Acacia koa	|	 	|	468172
1	|	Acacia longifolia	|	 	|	139010
1	|	Acacia mearnsii	|	 	|	139012
1	|	Acacia melanoxylon	|	 	|	138028
1	|	Acacia neriifolia	|	 	|	205053
1	|	Acacia papyrocarpa	|	 	|	694554
1	|	Acacia paradoxa	|	 	|	139014
1	|	Acacia pendula	|	 	|	1173660
1	|	Acacia podalyriifolia	|	 	|	205059
1	|	Acacia pruinosa	|	 	|	1120467
1	|	Acacia pycnantha	|	 	|	880440
1	|	Acacia redolens	|	 	|	205062
1	|	Acacia retinodes	|	 	|	1050817
1	|	Acacia saligna	|	 	|	420411
3	|	Acacia sclerosperma	|	 	|	 
2	|	Acacia sieberiana	|	Vachellia sieberiana	|	546664
1	|	Acacia verticillata	|	 	|	139017
1	|	Acaena novae-zelandiae	|	 	|	281871
3	|	Acaena pallida	|	 	|	 
1	|	Acaena pinnatifida	|	 	|	281873
1	|	Acalypha californica	|	 	|	256091
1	|	Acamptopappus shockleyi	|	 	|	217566
1	|	Acamptopappus sphaerocephalus	|	 	|	217567
1	|	Acanthomintha duttonii	|	 	|	1150279
1	|	Acanthomintha ilicifolia	|	 	|	751780
1	|	Acanthomintha lanceolata	|	 	|	392615
1	|	Acanthomintha obovata	|	 	|	751781
1	|	Acanthoscyphus parishii	|	 	|	1214393
1	|	Acanthus mollis	|	 	|	76277
1	|	Acanthus spinosus	|	 	|	101744
1	|	Acaulon triquetrum	|	 	|	200688
1	|	Acca sellowiana	|	 	|	260130
1	|	Acer buergerianum	|	 	|	57649
1	|	Acer campestre	|	 	|	66205
1	|	Acer circinatum	|	 	|	66207
1	|	Acer glabrum	|	 	|	75744
1	|	Acer grandidentatum	|	 	|	291206
1	|	Acer macrophyllum	|	 	|	66211
1	|	Acer negundo	|	 	|	4023
1	|	Acer palmatum	|	 	|	66201
1	|	Acer platanoides	|	 	|	4025
1	|	Acer rubrum	|	 	|	45314
1	|	Acer saccharinum	|	 	|	75745
1	|	Acer saccharum	|	 	|	4024
1	|	Achillea filipendulina	|	 	|	282736
1	|	Achillea millefolium	|	 	|	13329
3	|	Achlys californica	|	 	|	 
1	|	Achlys triphylla	|	 	|	63345
1	|	Achnatherum aridum	|	 	|	523868
2	|	Achnatherum bloomeri	|	Achnatherum x bloomeri	|	1052122
3	|	Achnatherum capense	|	 	|	 
3	|	Achnatherum coronatum	|	 	|	 
1	|	Achnatherum diegoense	|	 	|	860732
3	|	Achnatherum eminens;Nassella	|	 	|	 
2	|	Achnatherum hymenoides	|	Stipa hymenoides	|	37671
1	|	Achnatherum latiglume	|	 	|	1118075
1	|	Achnatherum lemmonii	|	 	|	1118076
1	|	Achnatherum lettermanii	|	 	|	1118077
1	|	Achnatherum nelsonii	|	 	|	487918
1	|	Achnatherum nevadense	|	 	|	487919
1	|	Achnatherum occidentale	|	 	|	487920
3	|	Achnatherum occidentale;Achnatherum	|	 	|	 
1	|	Achnatherum parishii	|	 	|	523869
1	|	Achnatherum pinetorum	|	 	|	1118080
1	|	Achnatherum scribneri	|	 	|	1118082
1	|	Achnatherum stillmanii	|	 	|	487924
3	|	Achnatherum thurberianum	|	 	|	 
1	|	Achnatherum webberi	|	 	|	1052126
1	|	Achyrachaena mollis	|	 	|	149405
1	|	Achyranthes aspera	|	 	|	240005
1	|	Achyranthes bidentata	|	 	|	384659
1	|	Achyronychia cooperi	|	 	|	1137807
1	|	Acleisanthes diffusa	|	 	|	117595
1	|	Acleisanthes lanceolata	|	 	|	117596
1	|	Acleisanthes longiflora	|	 	|	117581
3	|	Acleisanthes nevadensis	|	 	|	 
1	|	Acmispon americanus	|	 	|	100151
1	|	Acmispon argophyllus	|	 	|	1159231
3	|	Acmispon argyraeus	|	 	|	 
3	|	Acmispon cytisoides	|	 	|	 
3	|	Acmispon cytisoides;Acmispon	|	 	|	 
1	|	Acmispon dendroideus	|	 	|	118915
1	|	Acmispon denticulatus	|	 	|	390701
3	|	Acmispon glabrus	|	 	|	 
3	|	Acmispon grandiflorus	|	 	|	 
3	|	Acmispon haydonii	|	 	|	 
1	|	Acmispon heermannii	|	 	|	1240362
3	|	Acmispon humistratus	|	 	|	 
3	|	Acmispon junceus	|	 	|	 
3	|	Acmispon maritimus	|	 	|	 
1	|	Acmispon micranthus	|	 	|	1394523
3	|	Acmispon nevadensis	|	 	|	 
1	|	Acmispon parviflorus	|	 	|	390702
3	|	Acmispon procumbens	|	 	|	 
3	|	Acmispon prostratus	|	 	|	 
3	|	Acmispon rigidus	|	 	|	 
3	|	Acmispon rubriflorus	|	 	|	 
3	|	Acmispon strigosus	|	 	|	 
1	|	Acmispon wrangelianus	|	 	|	118929
3	|	Acmispon wrightii	|	 	|	 
1	|	Acnistus arborescens	|	 	|	362341
1	|	Aconitum carmichaelii	|	 	|	85363
1	|	Aconitum columbianum	|	 	|	157970
1	|	Aconogonon alpinum	|	 	|	125586
3	|	Aconogonon davisiae	|	 	|	 
3	|	Aconogonon phytolaccifolium	|	 	|	 
1	|	Acorus calamus	|	 	|	4465
1	|	Acorus gramineus	|	 	|	55184
2	|	Acourtia microcephala	|	Perezia microcephala	|	40565
1	|	Acourtia nana	|	 	|	711014
1	|	Acrachne racemosa	|	 	|	286684
3	|	Acrocomia totai	|	 	|	 
3	|	Acrosiphonia mertensi	|	 	|	 
3	|	Acrosorium uncinatum	|	 	|	 
1	|	Actaea rubra	|	 	|	64024
1	|	Actaea spicata	|	 	|	64025
1	|	Actinastrum hantzschii	|	 	|	55402
1	|	Actinidia arguta	|	 	|	64478
1	|	Actinidia chinensis	|	 	|	3625
1	|	Adenocarpus foliolosus	|	 	|	49789
1	|	Adenocaulon bicolor	|	 	|	496616
1	|	Adenophyllum cooperi	|	 	|	169559
3	|	Adenophyllum porophylloides	|	 	|	 
1	|	Adenostoma fasciculatum	|	 	|	140993
1	|	Adenostoma sparsifolium	|	 	|	32216
1	|	Adiantum aleuticum	|	 	|	412743
1	|	Adiantum capillus-veneris	|	 	|	13818
1	|	Adiantum concinnum	|	 	|	1551579
1	|	Adiantum jordanii	|	 	|	1073788
1	|	Adiantum pedatum	|	 	|	29590
1	|	Adiantum raddianum	|	 	|	32168
1	|	Adiantum tenerum	|	 	|	306129
3	|	Adiantum tracyi	|	 	|	 
1	|	Adolphia californica	|	 	|	73670
1	|	Adonis aestivalis	|	 	|	113211
1	|	Aegilops biuncialis	|	 	|	130455
1	|	Aegilops cylindrica	|	 	|	130456
1	|	Aegilops geniculata	|	 	|	130459
1	|	Aegilops neglecta	|	 	|	130460
1	|	Aegilops speltoides	|	 	|	4573
1	|	Aegilops tauschii	|	 	|	37682
1	|	Aegilops triuncialis	|	 	|	39391
1	|	Aegle marmelos	|	 	|	68527
1	|	Aeonium arboreum	|	 	|	35945
1	|	Aeonium haworthii	|	 	|	35950
1	|	Aeschynomene rudis	|	 	|	135787
1	|	Aesculus californica	|	 	|	307252
3	|	Aesculus carnea	|	 	|	 
1	|	Aesculus glabra	|	 	|	322042
1	|	Aesculus hippocastanum	|	 	|	43364
1	|	Aesculus pavia	|	 	|	43872
1	|	Agalinis heterophylla	|	 	|	282236
1	|	Agapanthus africanus	|	 	|	51501
1	|	Agapanthus praecox	|	 	|	186128
3	|	Agastache parvifolia	|	 	|	 
1	|	Agastache urticifolia	|	 	|	268936
1	|	Agathis robusta	|	 	|	60854
1	|	Agave americana	|	 	|	39510
1	|	Agave deserti	|	 	|	382119
3	|	Agave havardiana	|	 	|	 
3	|	Agave neglecta	|	 	|	 
1	|	Agave parryi	|	 	|	332342
1	|	Agave parviflora	|	 	|	205703
1	|	Agave schottii	|	 	|	1147136
1	|	Agave shawii	|	 	|	1247851
1	|	Agave sisalana	|	 	|	442491
1	|	Agave utahensis	|	 	|	1511521
3	|	Agave weberi	|	 	|	 
1	|	Ageratina adenophora	|	 	|	176616
3	|	Ageratina herbacea	|	 	|	 
3	|	Ageratina occidentalis	|	 	|	 
1	|	Ageratina riparia	|	 	|	287013
3	|	Ageratina shastensis	|	 	|	 
1	|	Ageratum houstonianum	|	 	|	55598
1	|	Agnorhiza bolanderi	|	 	|	230216
1	|	Agnorhiza elata	|	 	|	230217
1	|	Agnorhiza invenusta	|	 	|	230220
1	|	Agnorhiza ovata	|	 	|	230223
1	|	Agnorhiza reticulata	|	 	|	230224
3	|	Agoseris apargioides	|	 	|	 
1	|	Agoseris aurantiaca	|	 	|	231835
3	|	Agoseris dasycarpa	|	 	|	 
2	|	Agoseris elata	|	Agoseris x elata	|	268001
1	|	Agoseris glauca	|	 	|	1234494
1	|	Agoseris grandiflora	|	 	|	161745
1	|	Agoseris heterophylla	|	 	|	19017
3	|	Agoseris monticola	|	 	|	 
3	|	Agoseris parviflora	|	 	|	 
1	|	Agoseris retrorsa	|	 	|	114283
1	|	Agrimonia gryposepala	|	 	|	932091
