
code	|	name	|	preferred name	|	taxid
1	|	Abies amabilis	|	 	|	97174
1	|	Abies lasiocarpa	|	 	|	34340
1	|	Abietinella abietina	|	 	|	61542
1	|	Acer glabrum	|	 	|	75744
1	|	Acer platanoides	|	 	|	4025
1	|	Acer pseudoplatanus	|	 	|	4026
1	|	Achillea alpina	|	 	|	282718
1	|	Achillea millefolium	|	 	|	13329
1	|	Achillea ptarmica	|	 	|	133233
1	|	Achnatherum nelsonii	|	 	|	487918
1	|	Achnatherum richardsonii	|	 	|	487922
1	|	Aconitum delphiniifolium	|	 	|	157971
3	|	Aconitum maximum	|	 	|	 
1	|	Aconitum napellus	|	 	|	112591
1	|	Aconogonon alaskanum	|	 	|	669613
1	|	Aconogonon alpinum	|	 	|	125586
1	|	Acorus calamus	|	 	|	4465
3	|	Acrochaetium porphyrae	|	 	|	 
3	|	Acrosiphonia mertensi	|	 	|	 
1	|	Actaea rubra	|	 	|	64024
1	|	Adiantum aleuticum	|	 	|	412743
1	|	Adiantum pedatum	|	 	|	29590
1	|	Adoxa moschatellina	|	 	|	4208
1	|	Agoseris aurantiaca	|	 	|	231835
1	|	Agoseris glauca	|	 	|	1234494
3	|	Agroelymus hultenii	|	 	|	 
1	|	Agropyron cristatum	|	 	|	4593
1	|	Agrostis capillaris	|	 	|	204232
3	|	Agrostis capillaris;Agrostis	|	 	|	 
1	|	Agrostis clavata	|	 	|	649480
1	|	Agrostis exarata	|	 	|	345915
1	|	Agrostis gigantea	|	 	|	345916
1	|	Agrostis hyemalis	|	 	|	481245
1	|	Agrostis mertensii	|	 	|	345918
1	|	Agrostis scabra	|	 	|	345920
1	|	Agrostis stolonifera	|	 	|	63632
1	|	Agrostis vinealis	|	 	|	247443
1	|	Ahnfeltia fastigiata	|	 	|	31363
3	|	Ahnfeltia gigartinoides	|	 	|	 
1	|	Ahnfeltia plicata	|	 	|	28023
1	|	Aira caryophyllea	|	 	|	336211
1	|	Alchemilla monticola	|	 	|	1532256
1	|	Alisma triviale	|	 	|	365734
1	|	Alliaria petiolata	|	 	|	126270
1	|	Allium schoenoprasum	|	 	|	74900
1	|	Allium victorialis	|	 	|	88845
1	|	Alnus incana	|	 	|	3516
1	|	Alnus rubra	|	 	|	109069
2	|	Alnus viridis	|	Alnus alnobetula	|	38784
3	|	Aloina brevirostris	|	 	|	 
1	|	Alopecurus aequalis	|	 	|	114194
1	|	Alopecurus geniculatus	|	 	|	114195
1	|	Alopecurus magellanicus	|	 	|	368342
1	|	Alopecurus pratensis	|	 	|	15304
1	|	Alyssum obovatum	|	 	|	457772
1	|	Amaranthus retroflexus	|	 	|	124763
1	|	Amblyodon dealbatus	|	 	|	67244
1	|	Amblystegium serpens	|	 	|	99400
3	|	Ambrosia chamissonis	|	 	|	 
1	|	Amelanchier alnifolia	|	 	|	32219
1	|	Amphidium lapponicum	|	 	|	61544
1	|	Amphidium mougeotii	|	 	|	96799
1	|	Amplisiphonia pacifica	|	 	|	1563190
3	|	Amsinckia intermedia	|	 	|	 
1	|	Amsinckia lycopsoides	|	 	|	1212517
1	|	Amsinckia menziesii	|	 	|	1213287
1	|	Anaphalis margaritacea	|	 	|	49045
1	|	Anastrepta orcadensis	|	 	|	264780
1	|	Anastrophyllum assimile	|	 	|	537820
3	|	Anastrophyllum donianum	|	 	|	 
3	|	Anastrophyllum helleranum	|	 	|	 
1	|	Anastrophyllum michauxii	|	 	|	248321
1	|	Anastrophyllum minutum	|	 	|	264785
1	|	Anastrophyllum saxicola	|	 	|	264784
1	|	Anastrophyllum sphenoloboides	|	 	|	537821
1	|	Andreaea alpestris	|	 	|	1183218
1	|	Andreaea blyttii	|	 	|	1183221
1	|	Andreaea nivalis	|	 	|	64624
3	|	Andreaea obovata	|	 	|	 
1	|	Andreaea rothii	|	 	|	50745
1	|	Andreaeobryum macrosporum	|	 	|	108610
1	|	Andromeda polifolia	|	 	|	95630
3	|	Androsace alaskana	|	 	|	 
3	|	Androsace americana	|	 	|	 
3	|	Androsace beringensis	|	 	|	 
1	|	Androsace chamaejasme	|	 	|	175028
3	|	Androsace constancei	|	 	|	 
3	|	Androsace ochotensis	|	 	|	 
1	|	Androsace septentrionalis	|	 	|	184985
1	|	Anemone drummondii	|	 	|	174163
1	|	Anemone multiceps	|	 	|	669618
1	|	Anemone multifida	|	 	|	168001
1	|	Anemone narcissiflora	|	 	|	168002
1	|	Anemone parviflora	|	 	|	666727
1	|	Anemone patens	|	 	|	387931
1	|	Anemone richardsonii	|	 	|	174169
1	|	Aneura pinguis	|	 	|	39026
3	|	Aneura pinguis;Aneura	|	 	|	 
1	|	Angelica archangelica	|	 	|	40949
1	|	Angelica genuflexa	|	 	|	357848
1	|	Angelica lucida	|	 	|	46362
1	|	Ankistrodesmus falcatus	|	 	|	52960
1	|	Anoectangium aestivum	|	 	|	200692
1	|	Anomobryum filiforme	|	 	|	576373
1	|	Antennaria alpina	|	 	|	669621
1	|	Antennaria densifolia	|	 	|	49052
1	|	Antennaria dioica	|	 	|	49054
1	|	Antennaria friesiana	|	 	|	49056
1	|	Antennaria media	|	 	|	1301374
1	|	Antennaria microphylla	|	 	|	49061
1	|	Antennaria monocephala	|	 	|	49062
1	|	Antennaria pulcherrima	|	 	|	49067
1	|	Antennaria rosea	|	 	|	669622
1	|	Antennaria solitaria	|	 	|	49070
1	|	Antennaria umbrinella	|	 	|	49073
1	|	Anthelia julacea	|	 	|	280797
3	|	Anthelia juratzkana	|	 	|	 
1	|	Anthemis cotula	|	 	|	158220
1	|	Anthoxanthum arcticum	|	 	|	669624
2	|	Anthoxanthum hirtum	|	Hierochloe hirta	|	1301377
1	|	Anthoxanthum monticola	|	 	|	368343
2	|	Anthoxanthum nitens	|	Hierochloe odorata	|	286619
1	|	Anthoxanthum odoratum	|	 	|	29661
1	|	Anticlea elegans	|	 	|	164833
3	|	Antithamnion asymmetricum	|	 	|	 
1	|	Antithamnion defectum	|	 	|	220946
2	|	Antithamnionella pacifica	|	Irtugovia pacifica	|	645529
1	|	Antithamnion kylinii	|	 	|	179278
