
code	|	name	|	preferred name	|	taxid
1	|	Abies concolor	|	 	|	97173
1	|	Abies lasiocarpa	|	 	|	34340
3	|	Abronia elliptica	|	 	|	 
1	|	Abronia fragrans	|	 	|	117576
3	|	Abronia glabrifolia	|	 	|	 
3	|	Abronia mellifera	|	 	|	 
3	|	Abronia nana	|	 	|	 
3	|	Abronia turbinata	|	 	|	 
1	|	Abronia villosa	|	 	|	363198
3	|	Abutilon parvulum	|	 	|	 
1	|	Abutilon theophrasti	|	 	|	3631
1	|	Acacia redolens	|	 	|	205062
1	|	Acamptopappus sphaerocephalus	|	 	|	217567
1	|	Acer campestre	|	 	|	66205
1	|	Acer circinatum	|	 	|	66207
2	|	Acer ginnala	|	Acer tataricum subsp. ginnala	|	57656
1	|	Acer glabrum	|	 	|	75744
1	|	Acer grandidentatum	|	 	|	291206
1	|	Acer japonicum	|	 	|	47966
1	|	Acer negundo	|	 	|	4023
1	|	Acer palmatum	|	 	|	66201
1	|	Acer platanoides	|	 	|	4025
1	|	Acer pseudoplatanus	|	 	|	4026
1	|	Acer saccharinum	|	 	|	75745
1	|	Achillea filipendulina	|	 	|	282736
1	|	Achillea millefolium	|	 	|	13329
1	|	Achnatherum aridum	|	 	|	523868
2	|	Achnatherum bloomeri	|	Achnatherum x bloomeri	|	1052122
1	|	Achnatherum calamagrostis	|	 	|	487912
3	|	Achnatherum coronatum	|	 	|	 
2	|	Achnatherum hymenoides	|	Stipa hymenoides	|	37671
1	|	Achnatherum lemmonii	|	 	|	1118076
1	|	Achnatherum lettermanii	|	 	|	1118077
1	|	Achnatherum nelsonii	|	 	|	487918
1	|	Achnatherum parishii	|	 	|	523869
1	|	Achnatherum perplexum	|	 	|	1118079
1	|	Achnatherum pinetorum	|	 	|	1118080
1	|	Achnatherum richardsonii	|	 	|	487922
1	|	Achnatherum scribneri	|	 	|	1118082
3	|	Achnatherum thurberianum	|	 	|	 
1	|	Achnatherum webberi	|	 	|	1052126
1	|	Achyronychia cooperi	|	 	|	1137807
1	|	Acleisanthes diffusa	|	 	|	117595
3	|	Acleisanthes nevadensis	|	 	|	 
1	|	Acmispon denticulatus	|	 	|	390701
3	|	Acmispon humistratus	|	 	|	 
3	|	Acmispon oroboides	|	 	|	 
3	|	Acmispon rigidus	|	 	|	 
3	|	Acmispon utahensis	|	 	|	 
3	|	Acmispon wrightii	|	 	|	 
1	|	Aconitum columbianum	|	 	|	157970
1	|	Aconitum napellus	|	 	|	112591
1	|	Acourtia wrightii	|	 	|	711017
1	|	Actaea rubra	|	 	|	64024
1	|	Actinastrum hantzschii	|	 	|	55402
1	|	Adenophyllum cooperi	|	 	|	169559
1	|	Adiantum aleuticum	|	 	|	412743
1	|	Adiantum capillus-veneris	|	 	|	13818
1	|	Adiantum pedatum	|	 	|	29590
1	|	Adonis aestivalis	|	 	|	113211
1	|	Adoxa moschatellina	|	 	|	4208
1	|	Aegilops cylindrica	|	 	|	130456
1	|	Aesculus hippocastanum	|	 	|	43364
1	|	Aesculus pavia	|	 	|	43872
1	|	Agastache urticifolia	|	 	|	268936
1	|	Agave americana	|	 	|	39510
1	|	Agave utahensis	|	 	|	1511521
3	|	Ageratina herbacea	|	 	|	 
3	|	Ageratina occidentalis	|	 	|	 
3	|	Agoseris agrestis	|	 	|	 
1	|	Agoseris aurantiaca	|	 	|	231835
2	|	Agoseris elata	|	Agoseris x elata	|	268001
1	|	Agoseris glauca	|	 	|	1234494
1	|	Agoseris grandiflora	|	 	|	161745
1	|	Agoseris heterophylla	|	 	|	19017
3	|	Agoseris parviflora	|	 	|	 
1	|	Agoseris retrorsa	|	 	|	114283
3	|	Agrestia hispida	|	 	|	 
3	|	Agropogon lutosus	|	 	|	 
1	|	Agropyron cristatum	|	 	|	4593
1	|	Agropyron desertorum	|	 	|	382394
1	|	Agropyron fragile	|	 	|	479945
1	|	Agrostis capillaris	|	 	|	204232
1	|	Agrostis exarata	|	 	|	345915
1	|	Agrostis gigantea	|	 	|	345916
1	|	Agrostis hyemalis	|	 	|	481245
1	|	Agrostis idahoensis	|	 	|	345917
1	|	Agrostis mertensii	|	 	|	345918
1	|	Agrostis pallens	|	 	|	345919
1	|	Agrostis scabra	|	 	|	345920
1	|	Agrostis stolonifera	|	 	|	63632
3	|	Agrostis variabilis	|	 	|	 
1	|	Ailanthus altissima	|	 	|	23810
1	|	Ajuga reptans	|	 	|	38596
1	|	Albizia julibrissin	|	 	|	3813
1	|	Alcea rosea	|	 	|	65557
1	|	Aletes macdougalii	|	 	|	178641
1	|	Alhagi maurorum	|	 	|	47037
1	|	Aliciella caespitosa	|	 	|	439152
3	|	Aliciella haydenii	|	 	|	 
1	|	Aliciella hutchinsifolia	|	 	|	40774
1	|	Aliciella latifolia	|	 	|	73236
1	|	Aliciella leptomeria	|	 	|	40735
1	|	Aliciella mcvickerae	|	 	|	73237
3	|	Aliciella micromeria	|	 	|	 
3	|	Aliciella pinnatifida	|	 	|	 
3	|	Aliciella stenothyrsa	|	 	|	 
1	|	Aliciella subnuda	|	 	|	73238
1	|	Aliciella tenuis	|	 	|	545396
1	|	Alisma gramineum	|	 	|	365729
1	|	Alisma plantago-aquatica	|	 	|	15000
1	|	Alisma triviale	|	 	|	365734
1	|	Allenrolfea occidentalis	|	 	|	224139
1	|	Alliaria petiolata	|	 	|	126270
1	|	Allionia choisyi	|	 	|	427776
1	|	Allionia incarnata	|	 	|	122398
1	|	Allium acuminatum	|	 	|	1286652
1	|	Allium atrorubens	|	 	|	472397
1	|	Allium bisceptrum	|	 	|	1286654
1	|	Allium brandegeei	|	 	|	1286655
1	|	Allium brevistylum	|	 	|	166795
1	|	Allium campanulatum	|	 	|	472402
1	|	Allium cepa	|	 	|	4679
1	|	Allium cernuum	|	 	|	70754
1	|	Allium geyeri	|	 	|	475796
1	|	Allium lemmonii	|	 	|	472416
1	|	Allium macropetalum	|	 	|	1286667
1	|	Allium nevadense	|	 	|	1286672
1	|	Allium parvum	|	 	|	472421
1	|	Allium passeyi	|	 	|	1286675
1	|	Allium schoenoprasum	|	 	|	74900
1	|	Allium textile	|	 	|	207935
1	|	Allophyllum gilioides	|	 	|	40740
1	|	Almutaster pauciflorus	|	 	|	481907
1	|	Alnus glutinosa	|	 	|	3517
1	|	Alnus incana	|	 	|	3516
1	|	Alopecurus aequalis	|	 	|	114194
1	|	Alopecurus arundinaceus	|	 	|	1227975
3	|	Alopecurus carolinianus	|	 	|	 
1	|	Alopecurus geniculatus	|	 	|	114195
1	|	Alopecurus magellanicus	|	 	|	368342
