
code	|	name	|	preferred name	|	taxid
1	|	Abies grandis	|	 	|	46611
1	|	Abies lasiocarpa	|	 	|	34340
1	|	Abietinella abietina	|	 	|	61542
3	|	Abronia elliptica	|	 	|	 
1	|	Abronia fragrans	|	 	|	117576
3	|	Abronia glabrifolia	|	 	|	 
3	|	Abronia mellifera	|	 	|	 
1	|	Abutilon theophrasti	|	 	|	3631
3	|	Acaena pallida	|	 	|	 
1	|	Acer glabrum	|	 	|	75744
1	|	Acer macrophyllum	|	 	|	66211
1	|	Acer negundo	|	 	|	4023
1	|	Acer platanoides	|	 	|	4025
1	|	Achillea alpina	|	 	|	282718
1	|	Achillea millefolium	|	 	|	13329
1	|	Achillea nobilis	|	 	|	282753
1	|	Achillea ptarmica	|	 	|	133233
2	|	Achnatherum hymenoides	|	Stipa hymenoides	|	37671
1	|	Achnatherum lemmonii	|	 	|	1118076
1	|	Achnatherum lettermanii	|	 	|	1118077
1	|	Achnatherum nelsonii	|	 	|	487918
1	|	Achnatherum occidentale	|	 	|	487920
3	|	Achnatherum occidentale;Achnatherum	|	 	|	 
1	|	Achnatherum richardsonii	|	 	|	487922
1	|	Acmispon americanus	|	 	|	100151
1	|	Aconitum columbianum	|	 	|	157970
3	|	Aconogonon phytolaccifolium	|	 	|	 
1	|	Acorus americanus	|	 	|	263995
1	|	Actaea rubra	|	 	|	64024
1	|	Actinastrum hantzschii	|	 	|	55402
1	|	Adenocaulon bicolor	|	 	|	496616
1	|	Adiantum aleuticum	|	 	|	412743
1	|	Adiantum pedatum	|	 	|	29590
1	|	Adonis aestivalis	|	 	|	113211
1	|	Adonis annua	|	 	|	212759
1	|	Adoxa moschatellina	|	 	|	4208
1	|	Aegilops cylindrica	|	 	|	130456
1	|	Aegopodium podagraria	|	 	|	40902
3	|	Agastache cusickii	|	 	|	 
1	|	Agastache foeniculum	|	 	|	39269
1	|	Agastache urticifolia	|	 	|	268936
3	|	Ageratina occidentalis	|	 	|	 
3	|	Agoseris agrestis	|	 	|	 
1	|	Agoseris aurantiaca	|	 	|	231835
2	|	Agoseris elata	|	Agoseris x elata	|	268001
1	|	Agoseris glauca	|	 	|	1234494
1	|	Agoseris grandiflora	|	 	|	161745
1	|	Agoseris heterophylla	|	 	|	19017
3	|	Agoseris parviflora	|	 	|	 
1	|	Agrimonia gryposepala	|	 	|	932091
1	|	Agrimonia striata	|	 	|	1503866
1	|	Agropyron cristatum	|	 	|	4593
1	|	Agropyron desertorum	|	 	|	382394
1	|	Agropyron fragile	|	 	|	479945
1	|	Agrostemma githago	|	 	|	39848
1	|	Agrostis capillaris	|	 	|	204232
3	|	Agrostis capillaris;Agrostis	|	 	|	 
1	|	Agrostis exarata	|	 	|	345915
1	|	Agrostis gigantea	|	 	|	345916
1	|	Agrostis hyemalis	|	 	|	481245
1	|	Agrostis idahoensis	|	 	|	345917
1	|	Agrostis mertensii	|	 	|	345918
1	|	Agrostis pallens	|	 	|	345919
1	|	Agrostis scabra	|	 	|	345920
1	|	Agrostis stolonifera	|	 	|	63632
3	|	Agrostis variabilis	|	 	|	 
1	|	Alcea rosea	|	 	|	65557
1	|	Aliciella leptomeria	|	 	|	40735
3	|	Aliciella pinnatifida	|	 	|	 
1	|	Alisma gramineum	|	 	|	365729
