
code	|	name	|	preferred name	|	taxid
1	|	Abelmoschus esculentus	|	 	|	455045
1	|	Abies amabilis	|	 	|	97174
1	|	Abies balsamea	|	 	|	90345
1	|	Abies concolor	|	 	|	97173
1	|	Abies grandis	|	 	|	46611
1	|	Abies lasiocarpa	|	 	|	34340
1	|	Abies procera	|	 	|	97175
1	|	Abronia fragrans	|	 	|	117576
3	|	Abronia latifolia	|	 	|	 
3	|	Abronia mellifera	|	 	|	 
1	|	Abronia umbellata	|	 	|	363197
1	|	Abutilon theophrasti	|	 	|	3631
2	|	Acacia senegal	|	Senegalia senegal	|	138043
1	|	Acaena novae-zelandiae	|	 	|	281871
1	|	Acer campestre	|	 	|	66205
1	|	Acer circinatum	|	 	|	66207
1	|	Acer glabrum	|	 	|	75744
1	|	Acer japonicum	|	 	|	47966
1	|	Acer macrophyllum	|	 	|	66211
1	|	Acer negundo	|	 	|	4023
1	|	Acer palmatum	|	 	|	66201
1	|	Acer platanoides	|	 	|	4025
1	|	Acer pseudoplatanus	|	 	|	4026
1	|	Acer rubrum	|	 	|	45314
1	|	Acer saccharinum	|	 	|	75745
1	|	Acer saccharum	|	 	|	4024
1	|	Achillea millefolium	|	 	|	13329
3	|	Achlys californica	|	 	|	 
1	|	Achlys triphylla	|	 	|	63345
1	|	Achnatherum contractum	|	 	|	1052124
1	|	Achnatherum hendersonii	|	 	|	1118074
2	|	Achnatherum hymenoides	|	Stipa hymenoides	|	37671
1	|	Achnatherum lemmonii	|	 	|	1118076
1	|	Achnatherum lettermanii	|	 	|	1118077
1	|	Achnatherum nelsonii	|	 	|	487918
1	|	Achnatherum occidentale	|	 	|	487920
3	|	Achnatherum occidentale;Achnatherum	|	 	|	 
1	|	Achnatherum richardsonii	|	 	|	487922
3	|	Achnatherum thurberianum	|	 	|	 
1	|	Acicarpha tribuloides	|	 	|	49581
1	|	Acmispon americanus	|	 	|	100151
1	|	Acmispon denticulatus	|	 	|	390701
3	|	Acmispon nevadensis	|	 	|	 
1	|	Acmispon parviflorus	|	 	|	390702
1	|	Aconitum columbianum	|	 	|	157970
3	|	Aconogonon davisiae	|	 	|	 
3	|	Aconogonon phytolaccifolium	|	 	|	 
1	|	Acorus americanus	|	 	|	263995
1	|	Acorus calamus	|	 	|	4465
3	|	Acrochaetium pacificum	|	 	|	 
3	|	Acrochaetium porphyrae	|	 	|	 
1	|	Actaea elata	|	 	|	64030
1	|	Actaea laciniata	|	 	|	64037
1	|	Actaea racemosa	|	 	|	64040
1	|	Actaea rubra	|	 	|	64024
1	|	Adenocaulon bicolor	|	 	|	496616
1	|	Adiantum aleuticum	|	 	|	412743
1	|	Adiantum capillus-veneris	|	 	|	13818
1	|	Adiantum pedatum	|	 	|	29590
1	|	Adonis aestivalis	|	 	|	113211
1	|	Adonis annua	|	 	|	212759
1	|	Aegilops bicornis	|	 	|	4483
1	|	Aegilops cylindrica	|	 	|	130456
1	|	Aegopodium podagraria	|	 	|	40902
1	|	Aeodes nitidissima	|	 	|	164047
3	|	Aesculus carnea	|	 	|	 
1	|	Aesculus hippocastanum	|	 	|	43364
3	|	Agastache occidentalis	|	 	|	 
1	|	Agastache urticifolia	|	 	|	268936
3	|	Agathosma betulina	|	 	|	 
3	|	Agave univittata	|	 	|	 
3	|	Ageratina occidentalis	|	 	|	 
3	|	Agoseris agrestis	|	 	|	 
3	|	Agoseris apargioides	|	 	|	 
1	|	Agoseris aurantiaca	|	 	|	231835
2	|	Agoseris elata	|	Agoseris x elata	|	268001
1	|	Agoseris glauca	|	 	|	1234494
1	|	Agoseris grandiflora	|	 	|	161745
1	|	Agoseris heterophylla	|	 	|	19017
3	|	Agoseris monticola	|	 	|	 
1	|	Agoseris retrorsa	|	 	|	114283
3	|	Agrestia hispida	|	 	|	 
1	|	Agrimonia eupatoria	|	 	|	57912
3	|	Agropogon lutosus	|	 	|	 
1	|	Agropyron cristatum	|	 	|	4593
1	|	Agropyron desertorum	|	 	|	382394
1	|	Agrostemma githago	|	 	|	39848
1	|	Agrostis capillaris	|	 	|	204232
3	|	Agrostis capillaris;Agrostis	|	 	|	 
1	|	Agrostis castellana	|	 	|	345914
1	|	Agrostis exarata	|	 	|	345915
1	|	Agrostis gigantea	|	 	|	345916
3	|	Agrostis hallii	|	 	|	 
3	|	Agrostis howellii	|	 	|	 
1	|	Agrostis hyemalis	|	 	|	481245
1	|	Agrostis idahoensis	|	 	|	345917
1	|	Agrostis mertensii	|	 	|	345918
3	|	Agrostis microphylla	|	 	|	 
3	|	Agrostis nebulosa	|	 	|	 
3	|	Agrostis oregonensis	|	 	|	 
1	|	Agrostis pallens	|	 	|	345919
1	|	Agrostis perennans	|	 	|	568787
3	|	Agrostis rossiae	|	 	|	 
1	|	Agrostis scabra	|	 	|	345920
1	|	Agrostis stolonifera	|	 	|	63632
3	|	Agrostis variabilis	|	 	|	 
3	|	Ahnfeltia concinna	|	 	|	 
1	|	Ahnfeltia fastigiata	|	 	|	31363
3	|	Ahnfeltia gigartinoides	|	 	|	 
1	|	Ahnfeltia plicata	|	 	|	28023
1	|	Ailanthus altissima	|	 	|	23810
1	|	Aira caryophyllea	|	 	|	336211
1	|	Aira elegantissima	|	 	|	1211427
3	|	Aira elegantissima;Molineriella	|	 	|	 
1	|	Aira praecox	|	 	|	281066
1	|	Ajuga reptans	|	 	|	38596
1	|	Alcea rosea	|	 	|	65557
1	|	Alchemilla monticola	|	 	|	1532256
1	|	Aleurites moluccanus	|	 	|	123498
1	|	Alhagi maurorum	|	 	|	47037
1	|	Aliciella leptomeria	|	 	|	40735
3	|	Aliciella lottiae	|	 	|	 
1	|	Alisma gramineum	|	 	|	365729
1	|	Alisma plantago-aquatica	|	 	|	15000
1	|	Alisma triviale	|	 	|	365734
1	|	Alkanna tinctoria	|	 	|	543564
1	|	Alliaria petiolata	|	 	|	126270
1	|	Allium acuminatum	|	 	|	1286652
1	|	Allium ampeloprasum	|	 	|	4681
1	|	Allium amplectens	|	 	|	74889
1	|	Allium campanulatum	|	 	|	472402
1	|	Allium carinatum	|	 	|	1211429
1	|	Allium cepa	|	 	|	4679
1	|	Allium cernuum	|	 	|	70754
1	|	Allium columbianum	|	 	|	1286656
3	|	Allium constrictum	|	 	|	 
1	|	Allium crenulatum	|	 	|	1286658
1	|	Allium dictuon	|	 	|	1286660
1	|	Allium douglasii	|	 	|	1286661
1	|	Allium fibrillum	|	 	|	1286664
1	|	Allium geyeri	|	 	|	475796
1	|	Allium macrum	|	 	|	1286668
1	|	Allium nevii	|	 	|	1286673
1	|	Allium nigrum	|	 	|	165640
1	|	Allium robinsonii	|	 	|	1286678
1	|	Allium sativum	|	 	|	4682
1	|	Allium schoenoprasum	|	 	|	74900
1	|	Allium scilloides	|	 	|	1286679
1	|	Allium scorodoprasum	|	 	|	166823
1	|	Allium textile	|	 	|	207935
1	|	Allium tolmiei	|	 	|	1286682
1	|	Allium triquetrum	|	 	|	74902
1	|	Allium tuberosum	|	 	|	4683
1	|	Allium ursinum	|	 	|	4684
1	|	Allium validum	|	 	|	74904
1	|	Allium vineale	|	 	|	1053326
1	|	Allophyllum gilioides	|	 	|	40740
1	|	Allotropa virgata	|	 	|	176242
1	|	Alnus glutinosa	|	 	|	3517
1	|	Alnus incana	|	 	|	3516
1	|	Alnus rhombifolia	|	 	|	109068
1	|	Alnus rubra	|	 	|	109069
1	|	Alnus serrulata	|	 	|	253219
2	|	Alnus viridis	|	Alnus alnobetula	|	38784
1	|	Aloe ferox	|	 	|	117798
1	|	Aloe spicata	|	 	|	992642
1	|	Alopecurus aequalis	|	 	|	114194
1	|	Alopecurus arundinaceus	|	 	|	1227975
3	|	Alopecurus carolinianus	|	 	|	 
1	|	Alopecurus geniculatus	|	 	|	114195
1	|	Alopecurus myosuroides	|	 	|	81473
1	|	Alopecurus pratensis	|	 	|	15304
3	|	Alopecurus saccatus	|	 	|	 
1	|	Aloysia citrodora	|	 	|	925377
1	|	Alpinia officinarum	|	 	|	199623
1	|	Alsia californica	|	 	|	324263
1	|	Alstroemeria aurea	|	 	|	56742
1	|	Alstroemeria pulchella	|	 	|	1231189
1	|	Althaea officinalis	|	 	|	145745
1	|	Alyssum alyssoides	|	 	|	169068
1	|	Alyssum desertorum	|	 	|	457768
1	|	Amaranthus albus	|	 	|	124760
