
code	|	name	|	preferred name	|	taxid
1	|	Abies amabilis	|	 	|	97174
1	|	Abies concolor	|	 	|	97173
1	|	Abies grandis	|	 	|	46611
1	|	Abies lasiocarpa	|	 	|	34340
1	|	Abies lowiana	|	 	|	587726
1	|	Abies magnifica	|	 	|	3320
3	|	Abronia elliptica	|	 	|	 
3	|	Abronia nana	|	 	|	 
3	|	Abronia pogonantha	|	 	|	 
3	|	Abronia turbinata	|	 	|	 
1	|	Abronia villosa	|	 	|	363198
3	|	Abutilon parvulum	|	 	|	 
1	|	Abutilon theophrasti	|	 	|	3631
1	|	Acamptopappus shockleyi	|	 	|	217566
1	|	Acamptopappus sphaerocephalus	|	 	|	217567
1	|	Acer glabrum	|	 	|	75744
1	|	Acer grandidentatum	|	 	|	291206
1	|	Acer macrophyllum	|	 	|	66211
1	|	Acer negundo	|	 	|	4023
1	|	Achillea millefolium	|	 	|	13329
1	|	Achnatherum aridum	|	 	|	523868
2	|	Achnatherum bloomeri	|	Achnatherum x bloomeri	|	1052122
1	|	Achnatherum contractum	|	 	|	1052124
3	|	Achnatherum coronatum	|	 	|	 
2	|	Achnatherum hymenoides	|	Stipa hymenoides	|	37671
1	|	Achnatherum lemmonii	|	 	|	1118076
1	|	Achnatherum lettermanii	|	 	|	1118077
1	|	Achnatherum nelsonii	|	 	|	487918
1	|	Achnatherum nevadense	|	 	|	487919
1	|	Achnatherum occidentale	|	 	|	487920
3	|	Achnatherum occidentale;Achnatherum	|	 	|	 
1	|	Achnatherum parishii	|	 	|	523869
1	|	Achnatherum pinetorum	|	 	|	1118080
1	|	Achnatherum stillmanii	|	 	|	487924
3	|	Achnatherum thurberianum	|	 	|	 
1	|	Achnatherum webberi	|	 	|	1052126
3	|	Achnella caduca	|	 	|	 
1	|	Achyronychia cooperi	|	 	|	1137807
1	|	Acleisanthes diffusa	|	 	|	117595
3	|	Acleisanthes nevadensis	|	 	|	 
1	|	Acmispon americanus	|	 	|	100151
1	|	Acmispon argophyllus	|	 	|	1159231
3	|	Acmispon argyraeus	|	 	|	 
3	|	Acmispon humistratus	|	 	|	 
3	|	Acmispon maritimus	|	 	|	 
3	|	Acmispon nevadensis	|	 	|	 
3	|	Acmispon oroboides	|	 	|	 
1	|	Acmispon parviflorus	|	 	|	390702
3	|	Acmispon rigidus	|	 	|	 
3	|	Acmispon strigosus	|	 	|	 
