
code	|	name	|	preferred name	|	taxid
1	|	Abronia ameliae	|	 	|	363194
1	|	Abronia angustifolia	|	 	|	363195
1	|	Abronia fragrans	|	 	|	117576
1	|	Abronia macrocarpa	|	 	|	363196
3	|	Abronia nealleyi	|	 	|	 
1	|	Abutilon abutiloides	|	 	|	1208418
3	|	Abutilon berlandieri	|	 	|	 
1	|	Abutilon fruticosum	|	 	|	1423375
3	|	Abutilon hulseanum	|	 	|	 
3	|	Abutilon hypoleucum	|	 	|	 
1	|	Abutilon incanum	|	 	|	424429
1	|	Abutilon indicum	|	 	|	318060
1	|	Abutilon malacum	|	 	|	1208423
3	|	Abutilon mollicomum	|	 	|	 
3	|	Abutilon parvulum	|	 	|	 
1	|	Abutilon theophrasti	|	 	|	3631
3	|	Abutilon trisulcatum	|	 	|	 
3	|	Abutilon wrightii	|	 	|	 
2	|	Acacia angustissima	|	Acaciella angustissima	|	468212
3	|	Acalypha gracilens	|	 	|	 
3	|	Acalypha monococca	|	 	|	 
3	|	Acalypha monostachya	|	 	|	 
3	|	Acalypha neomexicana	|	 	|	 
3	|	Acalypha ostryifolia	|	 	|	 
3	|	Acalypha phleoides	|	 	|	 
3	|	Acalypha poiretii	|	 	|	 
3	|	Acalypha radians	|	 	|	 
1	|	Acalypha rhomboidea	|	 	|	32204
3	|	Acalypha virginica	|	 	|	 
1	|	Acanthocereus tetragonus	|	 	|	336110
1	|	Acaulon muticum	|	 	|	129285
3	|	Acaulon schimperianum	|	 	|	 
1	|	Acaulon triquetrum	|	 	|	200688
1	|	Acca sellowiana	|	 	|	260130
3	|	Acer floridanum	|	 	|	 
1	|	Acer glabrum	|	 	|	75744
1	|	Acer grandidentatum	|	 	|	291206
2	|	Acer leucoderme	|	Acer saccharum subsp. leucoderme	|	407037
1	|	Acer negundo	|	 	|	4023
2	|	Acer nigrum	|	Acer saccharum subsp. nigrum	|	291207
1	|	Acer rubrum	|	 	|	45314
1	|	Acer saccharinum	|	 	|	75745
1	|	Acer saccharum	|	 	|	4024
1	|	Achillea millefolium	|	 	|	13329
1	|	Achnatherum aridum	|	 	|	523868
1	|	Achnatherum curvifolium	|	 	|	1118073
1	|	Achnatherum eminens	|	 	|	487915
3	|	Achnatherum eminens;Nassella	|	 	|	 
2	|	Achnatherum hymenoides	|	Stipa hymenoides	|	37671
1	|	Achnatherum lobatum	|	 	|	487916
1	|	Achnatherum nelsonii	|	 	|	487918
1	|	Achnatherum perplexum	|	 	|	1118079
1	|	Achnatherum robustum	|	 	|	487923
1	|	Achyranthes aspera	|	 	|	240005
1	|	Acleisanthes acutifolia	|	 	|	117578
1	|	Acleisanthes angustifolia	|	 	|	122406
1	|	Acleisanthes anisophylla	|	 	|	117579
1	|	Acleisanthes chenopodioides	|	 	|	117594
1	|	Acleisanthes crassifolia	|	 	|	117580
1	|	Acleisanthes diffusa	|	 	|	117595
1	|	Acleisanthes lanceolata	|	 	|	117596
1	|	Acleisanthes longiflora	|	 	|	117581
1	|	Acleisanthes obtusa	|	 	|	117583
1	|	Acleisanthes parvifolia	|	 	|	117597
1	|	Acleisanthes wrightii	|	 	|	117584
1	|	Acmella oppositifolia	|	 	|	53715
1	|	Acmella repens	|	 	|	279740
1	|	Acmispon americanus	|	 	|	100151
3	|	Acmispon humistratus	|	 	|	 
3	|	Acmispon oroboides	|	 	|	 
3	|	Acmispon wrightii	|	 	|	 
1	|	Acorus calamus	|	 	|	4465
1	|	Acourtia nana	|	 	|	711014
1	|	Acourtia runcinata	|	 	|	130232
1	|	Acourtia wrightii	|	 	|	711017
1	|	Actinastrum hantzschii	|	 	|	55402
1	|	Adelia vaseyi	|	 	|	423288
1	|	Adiantum capillus-veneris	|	 	|	13818
3	|	Adiantum tricholepis	|	 	|	 
1	|	Adolphia infesta	|	 	|	106656
1	|	Adonis annua	|	 	|	212759
1	|	Aegilops cylindrica	|	 	|	130456
1	|	Aeschynomene indica	|	 	|	48135
3	|	Aeschynomene viscidula	|	 	|	 
3	|	Aesculus carnea	|	 	|	 
1	|	Aesculus flava	|	 	|	322040
1	|	Aesculus glabra	|	 	|	322042
1	|	Aesculus hippocastanum	|	 	|	43364
1	|	Aesculus pavia	|	 	|	43872
3	|	Agalinis aspera	|	 	|	 
1	|	Agalinis auriculata	|	 	|	4172
1	|	Agalinis calycina	|	 	|	546843
3	|	Agalinis densiflora	|	 	|	 
1	|	Agalinis edwardsiana	|	 	|	546845
1	|	Agalinis fasciculata	|	 	|	282234
3	|	Agalinis filifolia	|	 	|	 
1	|	Agalinis gattingeri	|	 	|	546846
1	|	Agalinis heterophylla	|	 	|	282236
1	|	Agalinis homalantha	|	 	|	546848
1	|	Agalinis maritima	|	 	|	546850
1	|	Agalinis navasotensis	|	 	|	546851
1	|	Agalinis oligophylla	|	 	|	546852
1	|	Agalinis purpurea	|	 	|	374692
1	|	Agalinis strictifolia	|	 	|	282242
1	|	Agalinis tenuifolia	|	 	|	282244
1	|	Agalinis viridis	|	 	|	546855
3	|	Agastache breviflora	|	 	|	 
1	|	Agastache cana	|	 	|	180016
3	|	Agastache micrantha	|	 	|	 
1	|	Agastache pallidiflora	|	 	|	313656
1	|	Agave americana	|	 	|	39510
3	|	Agave desmettiana	|	 	|	 
3	|	Agave glomeruliflora	|	 	|	 
3	|	Agave gracilipes	|	 	|	 
3	|	Agave havardiana	|	 	|	 
1	|	Agave lecheguilla	|	 	|	39513
1	|	Agave parryi	|	 	|	332342
3	|	Agave univittata	|	 	|	 
3	|	Agave weberi	|	 	|	 
1	|	Agdestis clematidea	|	 	|	115620
1	|	Ageratina altissima	|	 	|	102750
3	|	Ageratina havanensis	|	 	|	 
3	|	Ageratina herbacea	|	 	|	 
3	|	Ageratina rothrockii	|	 	|	 
1	|	Ageratina wrightii	|	 	|	1193808
1	|	Agrimonia incisa	|	 	|	1068671
3	|	Agrimonia microcarpa	|	 	|	 
1	|	Agrimonia parviflora	|	 	|	32217
3	|	Agrimonia pubescens	|	 	|	 
3	|	Agrimonia rostellata	|	 	|	 
3	|	Agropogon lutosus	|	 	|	 
1	|	Agropyron cristatum	|	 	|	4593
1	|	Agropyron desertorum	|	 	|	382394
1	|	Agrostemma githago	|	 	|	39848
3	|	Agrostis elliottiana	|	 	|	 
1	|	Agrostis exarata	|	 	|	345915
1	|	Agrostis gigantea	|	 	|	345916
1	|	Agrostis hyemalis	|	 	|	481245
1	|	Agrostis perennans	|	 	|	568787
1	|	Agrostis scabra	|	 	|	345920
1	|	Agrostis stolonifera	|	 	|	63632
1	|	Ailanthus altissima	|	 	|	23810
1	|	Aira caryophyllea	|	 	|	336211
1	|	Aira elegantissima	|	 	|	1211427
3	|	Aira elegantissima;Molineriella	|	 	|	 
1	|	Ajuga reptans	|	 	|	38596
1	|	Albizia julibrissin	|	 	|	3813
1	|	Albizia lebbeck	|	 	|	371650
1	|	Alcea rosea	|	 	|	65557
1	|	Aletes acaulis	|	 	|	178639
2	|	Aletes filifolius	|	Cymopterus filifolius	|	206614
3	|	Aletris aurea	|	 	|	 
1	|	Alhagi maurorum	|	 	|	47037
3	|	Aliciella ripleyi	|	 	|	 
1	|	Alisma subcordatum	|	 	|	365733
1	|	Allenrolfea occidentalis	|	 	|	224139
1	|	Allionia choisyi	|	 	|	427776
1	|	Allionia incarnata	|	 	|	122398
1	|	Allium ampeloprasum	|	 	|	4681
1	|	Allium canadense	|	 	|	472403
1	|	Allium cernuum	|	 	|	70754
1	|	Allium coryi	|	 	|	1286657
1	|	Allium drummondii	|	 	|	138320
1	|	Allium elmendorfii	|	 	|	1286662
1	|	Allium geyeri	|	 	|	475796
1	|	Allium glandulosum	|	 	|	166804
1	|	Allium kunthii	|	 	|	1286665
1	|	Allium macropetalum	|	 	|	1286667
3	|	Allium neapolitanum;Nothoscordum	|	 	|	 
1	|	Allium perdulce	|	 	|	1286676
